CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.39794,81,28.61,0,0.43,5.12,49.0,2.8437,15,439.2,27.2,303.61,29.49,11.1
0.62797,29,2.53,0,0.4,6.87,77.9,1.7624,2,152.2,19.2,22.95,17.94,10.4
0.46161,70,28.53,1,0.44,4.43,73.6,2.7301,6,487.3,25.8,235.16,19.33,27.6
0.3936,28,1.05,0,0.52,4.42,39.1,3.0472,18,336.8,28.2,381.62,9.16,23.5
0.27552,74,16.17,0,0.68,4.95,10.1,6.3102,8,587.8,21.4,393.75,29.82,12.8
0.51908,5,28.37,1,0.44,8.93,95.2,3.5436,6,568.1,28.3,231.36,1.41,35.2
0.28776,100,13.85,1,0.57,7.23,91.9,5.736,7,699.8,18.3,5.73,20.39,23.7
1.11176,100,3.31,1,0.56,6.15,18.2,5.0627,12,279.5,26.2,335.96,21.97,35.8
1.65746,84,29.06,1,0.45,5.51,20.3,5.8556,15,205.0,25.6,293.89,11.44,22.2
0.2418,55,13.55,1,0.64,6.9,78.8,2.6739,9,211.2,24.4,9.87,7.57,42.2
0.78445,50,24.47,1,0.41,6.27,78.7,8.6984,24,459.4,18.2,302.66,14.57,30.8
0.37634,86,20.45,0,0.42,6.31,96.5,7.6228,6,300.7,19.4,287.8,5.13,41.5
0.41972,53,12.17,0,0.65,5.92,99.8,1.6945,3,644.1,14.2,38.64,29.13,33.2
1.29913,10,29.47,0,0.5,5.21,49.8,9.0136,21,147.6,15.6,214.55,23.66,21.3
0.03684,43,19.71,0,0.7,4.42,96.0,4.1098,16,558.9,23.6,219.55,2.63,22.4
0.04558,59,22.72,0,0.47,7.43,81.6,9.7319,16,393.8,16.5,357.94,38.2,41.3
0.01021,30,0.65,0,0.67,4.89,75.6,7.8906,9,482.5,24.5,177.25,31.1,6.3
0.89374,59,18.28,0,0.57,6.13,36.6,5.9271,10,452.7,22.5,223.66,39.0,12.8
0.75289,14,28.36,1,0.52,6.94,85.0,8.4304,19,418.2,17.1,220.38,26.07,33.3
1.02016,48,7.26,0,0.63,4.73,91.9,9.103,9,519.0,13.4,207.75,37.74,38.5
1.92261,56,7.51,1,0.65,6.99,73.4,2.9501,16,427.4,16.4,341.26,32.32,43.4
0.80262,65,25.51,0,0.49,5.81,64.6,5.6771,6,653.5,17.3,378.65,13.04,39.7
0.30946,7,28.36,1,0.54,5.28,64.0,5.4287,7,431.0,22.9,365.97,30.41,49.2
0.75827,69,11.14,0,0.6,6.74,15.6,8.1712,17,651.8,11.2,78.58,5.74,46.4
0.06294,15,20.27,0,0.61,8.95,22.0,9.615,6,583.8,27.3,347.2,20.75,23.9
0.51072,52,27.47,0,0.49,7.84,22.9,5.5214,13,608.5,22.5,127.1,36.44,40.5
0.07736,32,2.85,1,0.43,5.43,16.3,6.0442,23,638.4,11.1,5.12,21.46,18.3
1.44721,87,14.55,0,0.52,6.51,47.8,4.809,22,221.5,15.0,213.25,37.92,46.8
0.36891,78,23.42,0,0.5,6.03,6.7,5.4836,5,305.5,13.0,37.71,15.89,49.9
0.26778,34,19.45,1,0.43,6.63,28.7,5.8009,15,639.6,21.6,199.72,21.44,38.1
0.15364,29,3.8,0,0.52,7.46,80.7,7.8232,23,189.5,21.4,295.91,23.21,20.1
0.74413,51,25.8,0,0.57,7.94,92.5,9.8593,14,394.1,17.3,338.31,38.46,48.3
0.30454,89,18.54,0,0.7,8.78,86.5,8.4313,18,162.8,25.2,129.13,28.6,6.8
0.42017,53,28.52,0,0.63,5.48,31.7,9.5604,16,191.5,11.2,335.52,24.2,23.5
0.00948,4,18.05,0,0.5,5.62,52.9,2.3195,17,453.3,26.5,22.85,3.56,28.0
0.48069,64,24.44,1,0.52,4.11,93.4,2.4994,9,337.7,27.8,246.25,9.7,28.2
